Home,HxG,Score,AxG,Away,HPoss,APoss,HPass,APass,HSoT,ASoT,Hsave,ASave,HPlayer1,HPlayer2,HPlayer3,APlayer1,APlayer2,APlayer3,HRank,ARank,HKP,AKP,HxA,AxA,H1/3,A1/3,HProg,AProg
Shakhtar ua,0.1,0–0,1.7,it Inter,41,59,82,83,1,4,3,1,7.6,7.3,7.2,8,7.7,7.6,17,25,3,10,0.1,1.1,8,48,10,34
Loko Moscow ru,1.5,1–2,2.5,de Bayern Munich,35,65,75,84,6,4,2,5,7.8,7.6,7.5,8.8,7.6,7.5,51,1,11,17,1.4,2.4,26,50,29,49
Liverpool eng,2.4,2–0,0.8,dk Midtjylland,63,37,84,72,1,1,1,0,8.2,7.9,7.4,7.1,7,6.8,10,112,7,4,1.6,0.7,30,13,36,14
Porto pt,1.2,2–0,1,gr Olympiacos,44,56,78,79,6,3,3,4,8,7.9,7.8,7.4,7.2,7,14,37,9,7,0.7,0.8,20,29,37,34
Marseille fr,0,0–3,1.9,eng Manchester City,36,64,82,91,2,4,1,1,7,6.7,6.7,8.6,8,7.5,55,6,2,8,0,1.9,9,66,10,43
Atalanta it,1.2,2–2,1.9,nl Ajax,47,53,74,79,7,6,5,5,8.5,7.6,7.4,8,7.5,7.2,26,19,11,6,1,0.5,20,38,34,44
Atlético Madrid es,2.6,3–2,1.3,at RB Salzburg,50,50,76,78,8,4,2,5,9,8,7.7,7.2,7.1,6.7,5,22,14,8,2.4,1.1,13,24,39,42
M'Gladbach de,1.6,2–2,2.3,es Real Madrid,35,65,79,89,5,6,4,3,8.7,7.5,7.2,8.2,8,7.6,47,4,7,18,1,2.1,13,62,20,45
Krasnodar ru,0.6,0–4,2.6,eng Chelsea,30,70,68,87,3,6,3,3,7.2,7,6.8,8.1,7.7,7.6,44,13,6,10,0.4,0.9,16,28,23,53
Başakşehir tr,0.9,0–2,2.5,fr Paris S-G,46,54,80,83,4,4,2,4,7.3,7.3,7.2,9.1,8.3,8,59,7,14,12,0.8,1.9,24,41,38,44
Manchester Utd eng,2.2,5–0,0.5,de RB Leipzig,46,54,83,81,6,2,2,2,9.3,8.4,7.8,7.1,6.8,6.7,9,21,8,7,0.9,0.3,16,25,21,34
Dortmund de,1.9,2–0,0.3,ru Zenit,69,31,89,80,4,0,0,3,7.6,7.6,7.5,7,7,7,12,27,8,3,1,0.3,86,18,66,14
Club Brugge be,2,1–1,1,it Lazio,60,40,82,79,2,3,2,2,7.5,7.3,7.3,8.1,7.6,7.3,43,31,8,7,0.9,0.9,42,17,49,21
